year,country,total_killed
2000,Afghanistan,8
2001,Afghanistan,2
2002,Afghanistan,3
2003,Afghanistan,13
2004,Afghanistan,26
2005,Afghanistan,20
2006,Afghanistan,30
2007,Afghanistan,21
2008,Afghanistan,32
2009,Afghanistan,24
2010,Afghanistan,34
2011,Afghanistan,31
2012,Afghanistan,11
2013,Afghanistan,48
2014,Afghanistan,42
2015,Afghanistan,41
2016,Afghanistan,14
2017,Afghanistan,15
2018,Afghanistan,14
2019,Afghanistan,18
2020,Afghanistan,2
2021,Afghanistan,21
2022,Afghanistan,9
2023,Afghanistan,0
2000,CAR,0
2001,CAR,1
2002,CAR,0
2003,CAR,0
2004,CAR,0
2005,CAR,0
2006,CAR,2
2007,CAR,2
2008,CAR,0
2009,CAR,4
2010,CAR,0
2011,CAR,1
2012,CAR,0
2013,CAR,4
2014,CAR,10
2015,CAR,6
2016,CAR,5
2017,CAR,17
2018,CAR,10
2019,CAR,6
2020,CAR,3
2021,CAR,8
2022,CAR,2
2023,CAR,2
2000,DR Congo,2
2001,DR Congo,7
2002,DR Congo,0
2003,DR Congo,4
2004,DR Congo,1
2005,DR Congo,0
2006,DR Congo,2
2007,DR Congo,0
2008,DR Congo,4
2009,DR Congo,7
2010,DR Congo,2
2011,DR Congo,5
2012,DR Congo,1
2013,DR Congo,2
2014,DR Congo,2
2015,DR Congo,0
2016,DR Congo,3
2017,DR Congo,0
2018,DR Congo,7
2019,DR Congo,12
2020,DR Congo,2
2021,DR Congo,6
2022,DR Congo,6
2023,DR Congo,4
2000,Ethiopia,1
2001,Ethiopia,0
2002,Ethiopia,0
2003,Ethiopia,0
2004,Ethiopia,0
2005,Ethiopia,0
2006,Ethiopia,0
2007,Ethiopia,0
2008,Ethiopia,3
2009,Ethiopia,0
2010,Ethiopia,0
2011,Ethiopia,1
2012,Ethiopia,0
2013,Ethiopia,1
2014,Ethiopia,0
2015,Ethiopia,0
2016,Ethiopia,0
2017,Ethiopia,0
2018,Ethiopia,2
2019,Ethiopia,5
2020,Ethiopia,14
2021,Ethiopia,20
2022,Ethiopia,2
2023,Ethiopia,6
2000,Iraq,2
2001,Iraq,0
2002,Iraq,1
2003,Iraq,29
2004,Iraq,11
2005,Iraq,5
2006,Iraq,4
2007,Iraq,5
2008,Iraq,0
2009,Iraq,1
2010,Iraq,7
2011,Iraq,0
2012,Iraq,0
2013,Iraq,0
2014,Iraq,0
2015,Iraq,0
2016,Iraq,0
2017,Iraq,0
2018,Iraq,0
2019,Iraq,0
2020,Iraq,1
2021,Iraq,0
2022,Iraq,1
2023,Iraq,0
2000,Myanmar,0
2001,Myanmar,0
2002,Myanmar,0
2003,Myanmar,0
2004,Myanmar,0
2005,Myanmar,0
2006,Myanmar,0
2007,Myanmar,0
2008,Myanmar,0
2009,Myanmar,0
2010,Myanmar,0
2011,Myanmar,0
2012,Myanmar,0
2013,Myanmar,0
2014,Myanmar,0
2015,Myanmar,1
2016,Myanmar,0
2017,Myanmar,0
2018,Myanmar,1
2019,Myanmar,1
2020,Myanmar,1
2021,Myanmar,14
2022,Myanmar,20
2023,Myanmar,2
2000,Nigeria,0
2001,Nigeria,0
2002,Nigeria,0
2003,Nigeria,0
2004,Nigeria,0
2005,Nigeria,0
2006,Nigeria,0
2007,Nigeria,0
2008,Nigeria,0
2009,Nigeria,0
2010,Nigeria,0
2011,Nigeria,9
2012,Nigeria,0
2013,Nigeria,8
2014,Nigeria,0
2015,Nigeria,0
2016,Nigeria,0
2017,Nigeria,11
2018,Nigeria,5
2019,Nigeria,14
2020,Nigeria,6
2021,Nigeria,5
2022,Nigeria,1
2023,Nigeria,2
2000,Palestine,0
2001,Palestine,0
2002,Palestine,5
2003,Palestine,1
2004,Palestine,2
2005,Palestine,1
2006,Palestine,4
2007,Palestine,3
2008,Palestine,1
2009,Palestine,13
2010,Palestine,0
2011,Palestine,0
2012,Palestine,0
2013,Palestine,1
2014,Palestine,14
2015,Palestine,0
2016,Palestine,0
2017,Palestine,0
2018,Palestine,3
2019,Palestine,2
2020,Palestine,0
2021,Palestine,0
2022,Palestine,0
2023,Palestine,168
2000,Pakistan,0
2001,Pakistan,0
2002,Pakistan,0
2003,Pakistan,0
2004,Pakistan,0
2005,Pakistan,0
2006,Pakistan,0
2007,Pakistan,4
2008,Pakistan,8
2009,Pakistan,18
2010,Pakistan,14
2011,Pakistan,5
2012,Pakistan,13
2013,Pakistan,22
2014,Pakistan,8
2015,Pakistan,1
2016,Pakistan,1
2017,Pakistan,2
2018,Pakistan,1
2019,Pakistan,2
2020,Pakistan,2
2021,Pakistan,4
2022,Pakistan,0
2023,Pakistan,0
2000,Somalia,11
2001,Somalia,6
2002,Somalia,4
2003,Somalia,6
2004,Somalia,2
2005,Somalia,5
2006,Somalia,5
2007,Somalia,9
2008,Somalia,46
2009,Somalia,19
2010,Somalia,5
2011,Somalia,13
2012,Somalia,8
2013,Somalia,15
2014,Somalia,9
2015,Somalia,11
2016,Somalia,10
2017,Somalia,9
2018,Somalia,3
2019,Somalia,5
2020,Somalia,11
2021,Somalia,5
2022,Somalia,14
2023,Somalia,4
2000,South Sudan,0
2001,South Sudan,0
2002,South Sudan,1
2003,South Sudan,1
2004,South Sudan,0
2005,South Sudan,2
2006,South Sudan,0
2007,South Sudan,0
2008,South Sudan,0
2009,South Sudan,0
2010,South Sudan,0
2011,South Sudan,9
2012,South Sudan,9
2013,South Sudan,15
2014,South Sudan,11
2015,South Sudan,15
2016,South Sudan,26
2017,South Sudan,33
2018,South Sudan,16
2019,South Sudan,6
2020,South Sudan,24
2021,South Sudan,29
2022,South Sudan,23
2023,South Sudan,34
2000,Sri Lanka,0
2001,Sri Lanka,0
2002,Sri Lanka,0
2003,Sri Lanka,0
2004,Sri Lanka,0
2005,Sri Lanka,0
2006,Sri Lanka,24
2007,Sri Lanka,16
2008,Sri Lanka,3
2009,Sri Lanka,8
2010,Sri Lanka,0
2011,Sri Lanka,0
2012,Sri Lanka,0
2013,Sri Lanka,0
2014,Sri Lanka,0
2015,Sri Lanka,0
2016,Sri Lanka,0
2017,Sri Lanka,0
2018,Sri Lanka,0
2019,Sri Lanka,0
2020,Sri Lanka,0
2021,Sri Lanka,0
2022,Sri Lanka,0
2023,Sri Lanka,0
2000,Sudan,15
2001,Sudan,2
2002,Sudan,1
2003,Sudan,8
2004,Sudan,6
2005,Sudan,11
2006,Sudan,12
2007,Sudan,11
2008,Sudan,20
2009,Sudan,6
2010,Sudan,4
2011,Sudan,6
2012,Sudan,1
2013,Sudan,7
2014,Sudan,2
2015,Sudan,5
2016,Sudan,0
2017,Sudan,1
2018,Sudan,3
2019,Sudan,1
2020,Sudan,1
2021,Sudan,3
2022,Sudan,10
2023,Sudan,22
2000,Syrian Arab Republic,0
2001,Syrian Arab Republic,0
2002,Syrian Arab Republic,0
2003,Syrian Arab Republic,0
2004,Syrian Arab Republic,0
2005,Syrian Arab Republic,0
2006,Syrian Arab Republic,0
2007,Syrian Arab Republic,0
2008,Syrian Arab Republic,0
2009,Syrian Arab Republic,0
2010,Syrian Arab Republic,0
2011,Syrian Arab Republic,0
2012,Syrian Arab Republic,19
2013,Syrian Arab Republic,25
2014,Syrian Arab Republic,18
2015,Syrian Arab Republic,9
2016,Syrian Arab Republic,37
2017,Syrian Arab Republic,43
2018,Syrian Arab Republic,56
2019,Syrian Arab Republic,36
2020,Syrian Arab Republic,24
2021,Syrian Arab Republic,14
2022,Syrian Arab Republic,6
2023,Syrian Arab Republic,1
2000,Yemen,0
2001,Yemen,0
2002,Yemen,3
2003,Yemen,0
2004,Yemen,0
2005,Yemen,0
2006,Yemen,0
2007,Yemen,0
2008,Yemen,0
2009,Yemen,4
2010,Yemen,0
2011,Yemen,0
2012,Yemen,1
2013,Yemen,3
2014,Yemen,2
2015,Yemen,12
2016,Yemen,6
2017,Yemen,1
2018,Yemen,2
2019,Yemen,5
2020,Yemen,7
2021,Yemen,3
2022,Yemen,0
2023,Yemen,1
